Symptom,Variation,Patient Description
arm stiffness or tightness,2,"“It’s mostly in my left arm, really. Like…it’s just constantly tight, you know? Especially after I’ve been sitting for a while, and it kind of feels like it’s knotted up. It doesn't really hurt, just…stiff.”"
arm stiffness or tightness,3,"“It’s really hard to get a good grip on things lately. My arms just… feel so stiff, like they’re frozen, especially in the mornings. It’s getting in the way of everything.”"
arm stiffness or tightness,4,"“It’s just… my arms, you know? They feel really stiff, like they’ve been holding a position for too long. Especially in the mornings, it’s almost like a tightness that doesn’t really want to let go, even after I move them around.”"
arm swelling,1,"“It’s just… my left arm, mostly. It’s gotten really puffy, you know? Like, constantly. It’s not always there, but when it is, it’s like a big balloon. Especially after I’ve been sitting down for a while.”"
arm swelling,2,"It’s just… my left arm, it’s been getting really puffy. Like, all the time. It’s not always there, but when it is, it’s noticeably bigger, especially around my wrist and hand. It feels kind of heavy too."
arm swelling,3,"“It’s just… my left arm. It feels so heavy sometimes, and it’s gotten puffy, you know? Like, there’s this extra fullness, especially in the evenings. It’s not always there, but when it is, it’s really noticeable.”"
arm swelling,4,"“It’s just… my left arm feels really heavy, and it’s gotten puffy. Like, noticeably bigger. It’s not constant, but it’s been happening more and more lately, especially after I’ve been sitting for a while.”"
hand or finger stiffness or tightness,1,"“It’s just…my hands, you know? They feel really tight, like they’re glued together sometimes. Especially in the mornings, it’s the worst. It eases off a bit during the day, but then it comes back, particularly when I’ve been doing anything with them – even just typing on the computer.”"
hand or finger stiffness or tightness,2,"“It’s just… my hands, you know? They feel really tight, like they’re clenched up, especially in the mornings. It’s hard to open jars sometimes, and even just making a fist feels awkward.”"
hand or finger stiffness or tightness,3,"“It’s just… my hands. They feel really tight, like they’re stuck. Especially in the mornings, and after I’ve been doing a little bit of housework, it gets worse. It’s uncomfortable, you know? Like they’re almost clenched up.”"
hand or finger stiffness or tightness,4,"“It’s just… my hands, you know? They get so tight, like they’re glued together sometimes. Especially in the mornings, it’s really noticeable. And it kind of creeps up throughout the day, too.”"
wrist stiffness or tightness,1,"“It’s really been bothering me lately. Especially in the mornings, my wrist feels just…stiff. Like it’s seized up and I have to really work at getting movement back into it. It’s not painful, exactly, just this intense tightness.”"
wrist stiffness or tightness,2,"“It’s just… my wrist. It feels really stiff, especially in the mornings. Like it’s seized up, and it takes a good while to get moving again. It’s not painful, exactly, just this tightness, and it gets worse if I do anything with it, even just typing.”"
wrist stiffness or tightness,3,"“It’s just… really hard to move my hand, you know? Like, my wrist feels so tight, almost like it’s knotted up. It gets worse at the end of the day, and I have to really force myself to straighten it out.”"
wrist stiffness or tightness,4,"“It’s just… really hard to move my hand, you know? Like, especially in the mornings. My wrist feels so stiff or tight, and it’s gotten worse over the last few weeks. It’s almost like a constant ache, and sometimes it’s so tight I can barely grip anything.”"
lip swelling,1,"“It’s just… my lips, honestly. They’ve been getting really puffy. Like, noticeably swollen. It started a couple of days ago, and it’s just getting worse. It’s kind of itchy too, but mostly the swelling is what’s bothering me.”"
lip swelling,2,"“It’s just… my lips have been really puffy. Like, constantly. They swell up, especially in the evenings, and it’s really uncomfortable. It’s not a huge swelling, just noticeable, and it’s been going on for about two weeks now.”"
lip swelling,3,"“It’s just…my lips, they’ve been getting really puffy. Like, noticeably bigger, especially in the mornings. It’s not painful, just…weird.”"
lip swelling,4,"“It’s just… my lips, they’ve been getting so puffy. Like, really puffy. Especially in the mornings. It’s kind of weird, and I’m worried about it.”"
toothache,1,"“It’s just… this one tooth. It’s been really sensitive lately, especially when I eat something cold or sweet. It feels like a dull, throbbing pain, and it’s gotten worse over the last few days. Honestly, it’s keeping me up at night.”"
toothache,2,"“It’s just… this one tooth. It’s been really sensitive lately, especially when I eat anything cold or sweet. It feels like it’s throbbing, and sometimes it’s actually quite painful. It’s gotten worse over the last couple of days, and I’m worried it’s more than just a bit of sensitivity.”"
toothache,3,"“It’s just… a really persistent throbbing in my jaw. Like a dull ache that comes and goes, but it gets sharp sometimes when I bite down. It’s been going on for about a week now, and it’s starting to worry me.”"
toothache,4,"“It’s just… a really persistent throbbing in my jaw. Like a dull ache that gets sharper when I bite down, and it’s been getting worse over the last couple of days. It’s driving me mad, honestly.”"
abnormal appearing skin,1,"“It’s just… my skin feels really weird. Like, patches of it look almost shiny, and sometimes it’s like… a different color. It’s not terrible, but it’s just not normal looking.”"
abnormal appearing skin,2,"“It’s just… there are these patches. They’re kind of raised and pink, and they look really strange. Almost like little bruises, but they’re not sore and they haven’t been injured. It’s just… the skin looks so abnormal appearing.”"
abnormal appearing skin,3,"“It’s just… kind of patchy, you know? Like there are little areas where the skin looks almost… wrong. Not red, not raised, just… different. It’s mostly on my arms and legs, and it’s getting a little wider, I think.”"
abnormal appearing skin,4,"“It’s just… this skin on my arms feels so strange. It’s almost like it’s not quite right, you know? It’s got this sort of patchy look, and it’s kind of shiny, like it’s not reflecting light properly. It looks… abnormal appearing skin.”"
skin lesion,1,"“It’s just… this spot. It started about a month ago, really small, but it’s gotten bigger, and it’s kind of raised up, almost like a little bump. It’s not itchy or anything, but it’s just… noticeable.”"
skin lesion,2,"“It’s just… this spot on my leg. It started as this little red bump, and it’s gotten bigger and darker over the last few weeks. It’s not itchy or painful, but it’s just kind of… there.”"
skin lesion,3,"“It’s just… there’s this thing on my leg. It started really small, almost like a little bump, but it’s gotten bigger and darker. It’s not itchy or painful, exactly, just… noticeable. It’s kind of raised, and it’s changing shape a little bit.”"
skin lesion,4,"“It’s just…this little bump on my arm. It started about a month ago, really small, and it’s gotten bigger, and now it’s got a bit of a raised edge to it. It doesn’t really itch or hurt, but it just looks a bit odd, you know?”"
acne or pimples,1,"“It’s just… my face. Lately, I’ve been breaking out *everywhere*. Just these little bumps, mostly on my cheeks and jawline. They come and go, but they’re really bothering me.”"
acne or pimples,2,"“It’s just… my face feels so oily, and I’ve been getting these really stubborn pimples popping up along my jawline. They’re not really painful, but they're just really annoying and they seem to come out of nowhere.”"
acne or pimples,3,"“It’s just… these bumps. They keep popping up on my cheeks and chin, especially after I’ve been stressed. It’s really bothering me because I’m starting to notice them in pictures.”"
acne or pimples,4,"“It’s just… these little bumps keep popping up on my cheeks and chin. They’re getting more frequent, and they’re starting to get a bit red and inflamed. It’s really bothering me, honestly.”"
dry lips,1,"“It’s just… my lips feel constantly dry. Like, even after I’ve been drinking water, they’re just really cracked and flaky. It’s starting to get a little uncomfortable, especially in this dry weather.”"
dry lips,2,"“It’s just… my lips feel constantly tight, like they’re always cracking and sticking together. It’s really uncomfortable, especially in the evenings.”"
dry lips,3,"“It’s just… my lips. They feel constantly tight, like they’re almost cracking, and really dry. It’s mostly noticeable in the evenings, especially after I’ve been outside.”"
dry lips,4,"“It’s just… my lips feel really tight, like they’re constantly cracking and peeling. It’s mostly noticeable in the mornings, and nothing seems to really help it. They just feel completely dry.”"
facial pain,1,"“It’s just… this aching. It started behind my eye, really intense, and it sort of radiates down my cheek. Sometimes it’s sharp, like an electric shock, and other times it’s just a constant throb. It’s gotten worse over the last couple of weeks, and it’s really impacting my ability to eat and even just relax.”"
facial pain,2,"“It’s just…a constant ache, really. Mostly around my cheekbone and jaw. It comes and goes, but when it’s bad, it feels like a dull throb, and sometimes sharp little stabs. It’s gotten worse lately, especially after I eat something acidic.”"
facial pain,3,"“It’s just… a constant ache, really. Mostly around my jaw and my temples. Sometimes it shoots up into my eyes, and it’s so sharp. It comes and goes, but when it’s bad, it’s just unbearable.”"
facial pain,4,"“It’s just…a constant ache, really. Mostly around my cheekbone, but sometimes it shoots down into my jaw. It comes and goes, and it’s really sharp when it flares up – like an electrical shock, almost. It’s incredibly distracting, especially when I’m eating.”"
mouth ulcer,1,"“It’s just… this sore in my mouth. It started a couple of weeks ago, just a little redness, but it’s gotten worse. It’s really painful to eat, especially anything hot or acidic. It’s not healing, and it’s getting a bit ragged around the edges.”"
mouth ulcer,2,"“It’s just… this awful sore in my mouth. It started a few days ago, just a little redness, but now it’s really painful and there’s this open area, like a little chunk of skin is missing. It hurts to eat, even soft things.”"
mouth ulcer,3,"“It’s just… this sore. It started really small, but it’s gotten bigger and it’s incredibly painful to eat. It’s in the corner of my mouth, and it feels like it’s burning.”"
mouth ulcer,4,"“It’s just… this awful soreness in my mouth. Like something’s constantly irritating it. Makes eating really uncomfortable, and it’s spread out – not just one spot, it’s all over.”"
skin growth,1,"“It started as just a little bump, really small, but it’s gotten bigger. It’s on my left forearm, and it’s… it’s almost like a small, raised area. It’s not itchy or painful, just noticeable.”"
skin growth,2,"“It started as just a little bump, really small, about the size of a pea. Now it’s gotten bigger, and there are a couple more of them popping up on my leg. They’re not painful, just… noticeable.”"
skin growth,3,"“It’s just… this weird thing on my leg. It started as a little bump, but it’s gotten bigger, and now it’s almost like a raised patch. It’s not painful, but it’s unsettling, and it’s spreading a bit.”"
skin growth,4,"“It’s just… this little bump here, on my forearm. It started a few weeks ago, really small, and it’s just gotten bigger and bigger. It’s not painful, but it’s a little itchy sometimes, and it’s definitely grown quite a bit since then.”"
eye deviation,1,"“It’s just… it’s like my vision keeps drifting to the right. When I’m looking at something straight ahead, my eye seems to pull a little to the right side. It’s really subtle, but it’s been getting worse over the last few weeks.”"
eye deviation,2,"“It’s just… sometimes when I look straight ahead, my vision feels like it’s drifting to the right a little bit. Like there’s this subtle pull, you know? It’s not constant, but it happens, especially when I’m tired.”"
eye deviation,3,"“It’s just… sometimes when I look straight ahead, my vision feels like it’s pulling a little to the left. Like I’m looking slightly off-kilter.”"
eye deviation,4,"“It’s just…sometimes, when I look straight ahead, my vision seems to drift to the right a little bit. Like my eyes aren’t quite aligned, you know? It’s really subtle, but it’s there.”"
diminished vision,1,"“It’s just… lately, things have been getting a little blurry. Especially when I’m looking at things further away, like when I’m reading or trying to see out the car window. It’s not a constant thing, but it’s happening more often, and it’s making things a bit unsettling.”"
diminished vision,2,"“It’s just… getting harder to see things, you know? Especially at night. Streetlights seem to blur, and I keep having to squint to read the menu at restaurants. It’s like my vision’s just… fading a little.”"
diminished vision,3,"“It’s just… lately, things have been getting a little blurry. Like, when I’m looking at the TV, I have to really focus, and it’s tiring. And when I’m outside, especially in the sunlight, I find myself squinting a lot.”"
diminished vision,4,"“It’s just… getting harder to see things, you know? Like, faces across the room, street signs – it’s like everything’s a little blurry and distant. It’s especially bad when I’m tired.”"
double vision,1,"“It’s like… everything’s blurry, but not just blurry. Like I’m seeing two of everything. If I look at a straight line, I see two lines running side-by-side. It’s really disorienting.”"
double vision,2,"“It’s just… things are blurry, you know? Like looking through a wavy piece of glass. Sometimes, if I try to focus on one thing, I’ll actually see two of it. Like a ghost image layered on top of the real thing.”"
double vision,3,"“It’s like… everything’s blurry, but not just one blurry thing. I see two of everything, really clear, but they’re just kind of layered on top of each other. It’s incredibly disorienting, especially when I’m walking or trying to read.”"
double vision,4,"“It’s like… everything’s blurry and split into two. Like looking through a badly warped window. Sometimes it’s just one eye, sometimes both, and it comes and goes. It’s really disorienting.”"
cross-eyed,1,"“It’s… it’s getting worse, really. When I look at things, especially for more than a few seconds, my eyes just sort of drift inwards, like they’re trying to meet in the middle. It’s really tiring, and I’ve started to avoid reading or using the computer because it makes it so much worse.”"
cross-eyed,2,"“It’s… it’s getting worse, really. When I look at something for too long, especially at a computer screen, my eyes just kind of cross. It’s not constant, but it’s happening more and more frequently, and it’s starting to make things blurry when it does happen.”"
cross-eyed,3,"“It’s just… when I look at things, especially if they’re far away, my eyes seem to drift inward, like they’re trying to meet in the middle. It’s a really distracting feeling, and I’ve noticed it’s getting worse lately.”"
cross-eyed,4,"“It’s just… when I look at things, especially if they’re far away, my eyes seem to cross. Like, I have to really concentrate to keep them straight. It gets worse when I’m tired, I think.”"
symptoms of eye,1,"“It’s just… my vision keeps getting blurry, especially when I’m tired. And there’s this weird flickering at the edges of my sight, like heat haze. It’s really unsettling, and it seems to get worse in the evenings.”"
symptoms of eye,2,"“It’s just… my eyes, Doctor. They’ve been feeling really tired lately, almost like they’re burning. And sometimes, when I stare at the computer for a long time, there’s this weird, blurry haze that comes over them. It goes away after a few minutes, but it’s really annoying.”"
symptoms of eye,3,"“It’s just… blurry. Like looking through a frosted window, especially when I’m tired. And sometimes, when the light hits it just right, there’s this weird flickering, almost like a strobe, and it’s really unsettling.”"
symptoms of eye,4,"“It’s just… my vision keeps getting blurry, especially when I’m reading or looking at my phone. And sometimes, like this morning, there’s just this strange pressure behind my eyes, and they feel really sensitive to light. It’s driving me crazy, honestly.”"
pain in eye,1,"“It’s just… this constant ache in my eye. Like something’s pressing on it, and it gets worse when I stare at screens. It’s really bothering me, especially in the evenings.”"
pain in eye,2,"“It’s just… this awful burning, like something’s constantly scratching at the back of my eye. It comes and goes, really intense sometimes, then it’s almost gone. And there’s this weird, blurry haze when it’s bad.”"
pain in eye,3,"“It’s just… blurry, mostly. And sometimes, like when the light hits it a certain way, there’s this intense aching in my eye. It comes and goes, really sharp, and I just have to close it tight.”"
pain in eye,4,"“It’s just… a really persistent ache, mostly in my left eye. Like something’s pressing on the back of it, and it gets worse when I’m staring at a screen for too long.”"
eye moves abnormally,1,"“It’s just… weird. Sometimes, when I’m tired or when I’m concentrating really hard, my eye just moves abnormally. Like, it drifts to the side without me even trying to make it do that. It’s really unsettling.”"
eye moves abnormally,2,"“It’s just… weird. Like, my left eye keeps drifting out of alignment, even when I’m trying to focus on something. It’s not a constant thing, but it happens, especially when I’m tired or stressed. It’s unsettling, to be honest.”"
eye moves abnormally,3,"“It’s just… it feels like my vision keeps drifting, you know? Like my eyes aren’t settling properly, and I have to really concentrate to keep them focused on what I’m looking at.”"
eye moves abnormally,4,"“It’s just… weird. Like, my vision keeps jumping. It’s not blurry, but my eyes just dart around without me even trying to make them. It happens mostly when I’m stressed, but it’s been happening even when I’m just relaxing.”"
abnormal movement of eyelid,1,"“It’s just… my left eyelid keeps jerking. Like, randomly. Sometimes it’s just a little twitch, but other times it’s a full, involuntary jerk. It’s really unsettling, and it happens mostly when I’m tired or stressed.”"
abnormal movement of eyelid,2,"“It’s just… my left eye keeps jerking. Like, randomly. It’s really unsettling, and it happens mostly when I’m tired or stressed, but sometimes it just comes out of nowhere.”"
abnormal movement of eyelid,3,"It’s just… this weird twitching, you know? Like my eyelid keeps jerking without me even trying to do anything with it. It happens mostly when I’m stressed, but sometimes it just… appears."
abnormal movement of eyelid,4,"“It’s just… it’s really strange. My left eyelid keeps just jerking, like it’s moving on its own. Sometimes it’s just a little twitch, other times it’s a full-blown jerk, and it happens without me even trying to do anything with it.”"
foreign body sensation in eye,1,"“It’s just… it feels like something’s stuck in my eye. Like there’s something there that shouldn’t be. It’s really annoying, and it comes and goes, but when I blink, it’s definitely there.”"
foreign body sensation in eye,2,"“It’s just…like something’s stuck in my eye, you know? Like there’s this gritty feeling, a constant little bit of something there that I can’t quite get rid of. It’s really annoying.”"
foreign body sensation in eye,3,"“It’s just…like something’s stuck in there. Like I have a little bit of grit, you know? It’s mostly when I blink, and it feels really scratchy.”"
foreign body sensation in eye,4,"“It’s just… like something’s stuck in my eye, you know? Like there’s this little grit or something, and if I blink, it moves around. It’s really annoying and makes me squint a lot.”"
irregular appearing scalp,1,"“It’s just… my scalp. It looks really strange, honestly. Like there are patches that are darker than the rest, and some areas are almost shiny. It’s just not even, you know? It’s kind of irregular appearing.”"
irregular appearing scalp,2,"“It’s just… my scalp looks really strange. Like there are patches that are darker than the rest, and some areas are almost shiny. It’s just not even, you know? It’s a bit unsettling, to be honest.”"
irregular appearing scalp,3,"“It’s just… this area here. My scalp, you know? It looks kind of patchy, like there are bits missing, and the color isn’t even. It’s not uniform at all.”"
irregular appearing scalp,4,"“It’s just… my scalp feels really strange. Like, it’s not smooth at all. It looks almost patchy, with different areas that seem darker or lighter than the rest. It’s a bit unsettling, to be honest.”"
swollen lymph nodes,1,"“It’s just… these glands in my neck, they’ve been really swollen for about two weeks now. It started as just a little bump, but it’s gotten noticeably bigger, and it’s kind of tender to the touch. It feels like it’s pushing outwards.”"
swollen lymph nodes,2,"“It’s just… my neck feels really heavy, almost like it’s filled with something. And there are these little bumps under my skin, like tiny peas. They’ve been getting bigger over the last couple of weeks, and it’s starting to worry me.”"
swollen lymph nodes,3,"“It’s just… there’s this really weird lump under my jaw, and it’s getting bigger. It’s not painful, but it’s just… noticeable. And I’ve noticed a couple smaller ones in my neck too, just kind of pulsing a little bit.”"
swollen lymph nodes,4,"“It’s just… there’s this lump under my jaw, mostly. It feels kind of hard, and it’s gotten bigger over the last couple of weeks. It’s a little sore to the touch, too, and I’ve noticed a couple more small ones up near my neck. I’m a bit worried about it, to be honest.”"
back pain,1,"“It’s just… this constant ache in my lower back. It started a few weeks ago after I started doing a lot more gardening, and it just hasn’t really gone away. Sometimes it’s sharp, sometimes it’s just a dull throb.”"
back pain,2,"“It’s just… a constant ache, really. It started a few weeks ago after I bent down to pick up the dog, and it’s gotten progressively worse. It’s mostly in my lower back, and it shoots down my leg sometimes when I stand for too long.”"
back pain,3,"“It’s just… a persistent ache, really. Mostly in my lower back, especially if I’ve been standing for a long time. It doesn’t really come and go, it’s just always there, a dullness that sort of radiates down my leg sometimes.”"
back pain,4,"“It’s just… a persistent ache, really. Mostly in my lower back, kind of a dull throbbing that gets worse when I’ve been sitting for too long or after I’ve been doing a bit of gardening. It doesn’t really come and go, just this constant niggle.”"
neck pain,1,"“It’s just… a constant ache, really. Mostly in my neck, kind of like a tightness that doesn’t really go away, even when I’m resting. It seems to get worse if I’m looking down at my phone or computer for too long.”"
neck pain,2,"“It’s just… this constant ache in my neck. It started a few weeks ago, after I was moving some heavy boxes, and it just hasn’t really gone away. It’s worse when I’m sitting at my desk, and I feel like I can’t really turn my head properly.”"
neck pain,3,"“It’s just…a constant ache, really. Mostly in my neck and shoulders. Like something’s just…tight. It’s worse when I’m sitting at my desk for too long, and it shoots up a little when I’m stressed.”"
neck pain,4,"“It’s just… a constant ache, really. Mostly in my neck and shoulders. Feels like something’s tight and it just won’t let up, even when I try to relax. It’s particularly bad when I’m sitting at my computer for a long time.”"
low back pain,1,"“It’s just… a constant ache, really. Starting in my lower back, it kind of shoots down my leg sometimes, especially when I stand for too long. It’s not sharp, just a dull, persistent pain.”"
low back pain,2,"“It’s just… this constant ache in my lower back. It started a few weeks ago after I was moving some furniture, and it hasn’t really gotten better. It’s worse when I stand for too long or when I twist.”"
low back pain,3,"“It’s just… a persistent ache down there. Like a dull throb that comes and goes, especially after I’ve been standing or moving around for a while. It’s really annoying and it’s starting to interfere with my daily activities.”"
low back pain,4,"“It’s just… a persistent ache, really. Mostly in my lower back, it shoots up sometimes when I bend over or twist. It’s not crippling, but it’s definitely there, and it’s getting a bit frustrating.”"
pain of the anus,1,"“It’s… it’s just really uncomfortable down there. Like a constant, nagging ache, especially after I go to the bathroom. It’s hard to explain, but it’s a pain of the anus, I think. It’s not sharp, just a dull, persistent ache.”"
pain of the anus,2,"“It’s just… really uncomfortable down there. Like a constant, dull ache, especially after I go to the bathroom. It’s hard to explain, but it feels like something’s irritated.”"
pain of the anus,3,"“It’s just… a really uncomfortable feeling down there. Like a constant pressure, and sometimes when I go to the bathroom, it burns. It’s not a sharp pain, more like a dull ache that’s really persistent.”"
pain of the anus,4,"“It’s just… a really uncomfortable feeling down there. Like a constant pressure, and when I go to the bathroom, it’s just… painful. It’s not bleeding, but it’s persistent and makes sitting really difficult.”"
pain during pregnancy,1,"“It’s just… this constant ache in my lower back, especially when I’m walking or standing for too long. It’s getting worse as the baby grows, and it’s really starting to interfere with my sleep.”"
pain during pregnancy,2,"“It’s just… this constant ache in my lower back, especially when I’m standing or walking. It’s gotten worse lately, and honestly, it’s really starting to slow me down.”"
pain during pregnancy,3,"“It’s just… it’s a really sharp, stabbing pain, mostly in my lower back, but sometimes it feels like it’s radiating down into my hips. It comes and goes, but when it’s bad, it’s really hard to move around, especially when I’m walking.”"
pain during pregnancy,4,"“It’s just… really sharp, like a stabbing pain, especially when I move around a lot. It gets worse in the evenings, and honestly, it’s making it hard to sleep. The doctor’s been checking things out, but I’m not sure what’s causing it.”"
pelvic pain,1,"“It’s just… a really persistent ache down there. It comes and goes, but when it’s bad, it’s like a dull throbbing, and it feels like it’s coming from right in my pelvis. It’s hard to describe, honestly.”"
pelvic pain,2,"“It’s just… a constant ache down there. Like a dull throb, mostly on my left side, and it comes and goes, but it’s always there to some degree. Sometimes it’s manageable, but other times it’s really sharp and makes it hard to even sit comfortably.”"
pelvic pain,3,"“It’s just… a constant ache down there. Like a dull throbbing, mostly on my right side. It comes and goes, and sometimes it’s really sharp, like a stabbing feeling. It’s been getting worse over the last few weeks, and honestly, it’s starting to interfere with everything I do.”"
pelvic pain,4,"“It’s just… a really persistent ache down there. Like a dull throb, mostly on my right side, but it shifts around. Sometimes it feels sharp, too, like a stabbing pain, particularly when I move a certain way. It’s been going on for weeks now, and honestly, it’s starting to really get to me.”"
impotence,1,"“It’s…it’s getting really hard. Really difficult. Honestly, it’s become a major issue in my relationship. Things just aren’t flowing like they used to be, and it’s starting to worry me a lot.”"
impotence,2,"“It’s… it’s getting harder, you know? Not like, all the time, but when I really want to, it just… doesn’t happen. It’s frustrating, and I don’t know what to do about it.”"
impotence,3,"“It’s…it’s gotten really difficult lately. Things just aren’t working the way they used to. It’s frustrating, and honestly, it’s making me feel really down and disconnected.”"
impotence,4,"“It’s just… lately, things haven’t been working the way they used to. It’s frustrating, you know? There’s a real difficulty there, a lack of response. It’s been happening for maybe six months, and it's getting worse. It’s impacting my relationship, honestly.”"
infant spitting up,1,"“It’s just… he’s been spitting up a lot lately. Like, constantly. It’s not just little dribbles, it’s full-on, projectile spits, especially after he feeds. It’s really messy and I’m starting to worry about it.”"
infant spitting up,2,"“It’s just…it’s happening a lot more than it used to. Like, after almost every feeding, he’s just spitting up, you know? It’s mostly projectile, and it smells kind of strong. It’s worrying me because he seems fine otherwise, but it’s a lot of liquid and it’s hard to get him settled.”"
infant spitting up,3,"“It’s just… a lot. Like, after every feeding, he’s projectile-ing the milk everywhere. It’s getting all over the place, and he seems uncomfortable afterwards, just really fussy.”"
infant spitting up,4,"“It’s just… a lot. Like, every bottle, half of it comes back up. And sometimes it’s projectile, you know? It’s really worrying me because he’s not gaining weight and I just feel like I'm constantly wiping him down.”"
vomiting blood,1,"“It’s just… it’s been really bad this morning. I woke up with it in my stomach. Just a little bit, but it’s bright red. It’s really worrying me.”"
vomiting blood,2,"“It’s just… it’s been coming up really thick, mostly. Like, dark red. I’ve been throwing up a little bit at a time, and there’s blood in it. It’s really worrying me.”"
vomiting blood,3,"“It’s just… it’s been coming up really quickly, like a wave. And it’s not just coffee-colored, you know? There’s actual blood in it. It’s awful, and I’m really worried.”"
vomiting blood,4,"“It’s just… it’s been coming up really thick, and it’s red. Like, bright red. I kept thinking it was just something I ate, but then it happened again this morning, and there was a lot of it. It’s really worrying me.”"
regurgitation,1,"“It’s… it’s like something comes back up after I eat. Mostly after I’ve had a big meal, and it’s kind of sour tasting.”"
regurgitation,2,"“It’s just… this really unsettling feeling in my stomach. Like, after I eat, especially if it’s something rich, this kind of sour liquid just comes back up. It’s not a full-blown vomiting, just this… regurgitation, I guess you’d call it, coming up again and again.”"
regurgitation,3,"“It’s… it’s like something comes back up after I eat. Like, half the food just comes right back out, even if I don’t feel particularly full.”"
regurgitation,4,"“It’s just… sometimes, after I eat, I feel like I’m bringing things back up. Not a full amount, but like a little bit of the food just comes right back up. It’s really uncomfortable, and it happens more when I eat richer meals.”"
burning abdominal pain,1,"“It’s just… this awful, searing pain. It’s mostly in my lower right, and it feels like it’s burning, like someone’s sticking a hot poker in there. It comes and goes, but when it’s bad, it’s unbearable.”"
burning abdominal pain,2,"“It’s just… a really intense ache, mostly in my lower right. It comes and goes, but when it’s bad, it feels like fire, like something’s burning down there.”"
burning abdominal pain,3,"“It’s just… a really intense ache, mostly down here. Like a constant fire, you know? It comes and goes, but when it’s bad, it’s just completely debilitating.”"
burning abdominal pain,4,"“It’s just… a really persistent ache, mostly down low. It comes and goes, but when it’s bad, it feels like fire, like something’s burning. It’s mostly after I eat, and it’s hard to ignore.”"
restlessness,1,"“It’s just… I can’t seem to sit still. I pace around the house, mostly, and when I’m sitting down, I just feel this overwhelming urge to fidget. It’s like my brain is constantly buzzing and I just need to *do* something, anything, to quiet it down.”"
restlessness,2,"“It’s just… I can’t seem to settle down. I pace when I’m waiting, I fidget constantly, and I just feel this overwhelming need to *do* something. It’s exhausting, really. Like my brain is buzzing and I can't just switch off.”"
restlessness,3,"“It’s just… hard to sit still, you know? I feel like I could just pace the room, or fidget constantly. It’s been getting worse lately, especially when I’m anxious.”"
restlessness,4,"“It’s just… I can’t seem to sit still. I pace when I’m talking, I fidget constantly, and honestly, I feel like I’m going to bounce off the walls if someone asks me to just… *be* still for a minute.”"
symptoms of infants,1,"“It’s just… it’s like he’s acting like a baby. He’s been spitting up constantly, fussing over everything, and just generally seems really uncomfortable. It’s like he’s got symptoms of infants, you know? Like a really fussy, gassy little one.”"
symptoms of infants,2,"“It’s just… well, my little one’s been acting really fussy lately. Like, constantly. And he’s been spitting up a lot, even after feedings, and he’s just, you know, generally a little pale. It’s like he’s exhibiting symptoms of infants, you know? Just a constant fussiness and a little bit of distress.”"
symptoms of infants,3,"“It’s just… it’s like they’re acting like babies. Just, you know, constantly wanting to be held, fussing over everything, and these little, intense cries… it’s like I’m dealing with symptoms of infants, even though they’re only six months old.”"
symptoms of infants,4,"“It’s just… he’s been acting so much like a baby, you know? Like a really, really young one. He’s been spitting up constantly, fussing over everything, and just wants to be held all the time. It's like seeing symptoms of infants, but it's happening with my six-month-old.”"
wheezing,1,"“It’s just… when I really try to breathe deep, I get this whistling sound, you know? Like a little squeak coming from my chest. It gets worse when I’m walking uphill.”"
wheezing,2,"“It’s just… when I really try to take a deep breath, I get this whistling sound, like air is going through a tiny tube. It gets worse when I’m walking uphill, or even just bending over.”"
wheezing,3,"“It’s just… when I breathe in really deep, I get this kind of rattling in my chest, like a small whistle. It’s getting worse, especially when I walk up hills.”"
wheezing,4,"“It’s just… when I really get going, or even just walking up the stairs, I get this tightness in my chest. Like I’m struggling to breathe, and it sounds like a whistle, you know? It’s getting worse lately.”"
peripheral edema,1,"“It’s just… my legs, you know? They get so puffy, especially in the evenings. Like, really heavy and swollen, mostly around my ankles and shins. It’s not constant, but it’s been getting worse lately, and it’s uncomfortable, especially when I stand for a long time.”"
peripheral edema,2,"“It’s mostly in my legs, you know? Like, especially at the end of the day. It’s just… swelling. It gets puffy and heavy, and it’s gotten worse lately, even with elevating my legs.”"
peripheral edema,3,"“It’s mostly in my legs, you know? Just… swelling. It gets worse when I’m on my feet all day, and it’s really noticeable in the evenings. It feels heavy and uncomfortable, like something’s pressing down.”"
peripheral edema,4,"“It’s mostly in my legs, you know? Just… swelling. It gets worse when I’m on my feet all day, and it’s pretty noticeable around the ankles. Sometimes it goes up to my shins, and it feels heavy and uncomfortable.”"
neck mass,1,"“It’s just…there’s this lump. Right at the back of my neck. It wasn’t there last week, and it’s getting a little bigger, I think. It’s not painful, just… noticeable.”"
neck mass,2,"“It’s just…there’s this lump here, at the back of my neck. It’s not really hard, more like soft and movable, but it’s definitely there. It hasn’t gotten any bigger that I’ve noticed, but it’s been bothering me for a couple of weeks now.”"
neck mass,3,"“It’s just… there’s this lump, really. Right at the base of my neck. It’s not hard, exactly, but it’s definitely there, and it’s gotten a little bigger, I think, over the last couple of weeks.”"
neck mass,4,"“It’s just… there’s this lump here, at the back of my neck. It’s not hard, really, more like soft, and it feels a bit warm to the touch. It wasn't there a few weeks ago, I’m sure of it.”"
ear pain,1,"“It’s just… this awful ache in my ear. Like a pressure, but also really sharp sometimes. It’s been getting worse over the last couple of days, and it feels like nothing seems to help.”"
